	SLA0109	SLA0110	SLA0210	SLA0514	SLA1213	SLA1812	SLA2014	SLA2311	SLA2411	SLA2710	SLA3014	SLA3311	SLA3315	SLA615	SLA715
ENSG00000005513	5	50	6	27	18	14	18	4	12	8	4	6	4	0	22
ENSG00000005700	1436	1348	1760	1898	1211	1434	513	963	925	737	182	1321	1066	442	370
ENSG00000005801	852	837	1044	1009	891	962	434	764	566	449	104	1011	712	232	219
ENSG00000005810	8528	9543	9987	10047	8970	10428	4837	7464	6691	5197	1679	9538	6746	4312	4025
ENSG00000005812	1364	1567	1953	1936	1255	1401	713	1067	925	638	141	1370	751	227	222
ENSG00000005844	8359	8045	11575	7341	10153	9611	4074	6962	5708	4915	2181	11124	7317	3784	3604
ENSG00000005882	130	223	186	177	210	177	70	162	110	124	23	200	140	50	74
ENSG00000005884	80	48	65	69	108	72	47	65	61	59	12	58	77	49	48
ENSG00000005889	2276	1462	1651	2695	1416	1584	1071	1774	1073	1316	179	1643	1636	455	454
ENSG00000005893	1785	1957	2048	1800	1224	1573	408	900	925	451	167	1294	1145	299	353
ENSG00000005961	196	2074	421	810	535	444	837	758	824	743	348	64	1114	207	1346
ENSG00000005981	0	6	0	2	0	0	0	0	0	4	0	0	0	0	0
ENSG00000006007	402	531	603	606	299	362	115	294	270	153	57	476	250	83	106
ENSG00000006015	256	240	275	181	410	297	108	207	214	158	69	304	154	49	174
ENSG00000006016	8	10	11	13	10	10	3	4	12	11	8	10	14	5	2
ENSG00000006025	334	278	560	288	495	422	221	400	230	265	111	641	324	189	311
ENSG00000006042	0	0	2	4	0	0	0	0	0	6	0	0	0	0	0
ENSG00000006047	8	2	1	14	1	0	0	0	0	2	0	0	0	0	4
ENSG00000006059	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	610	547	681	413	792	638	450	581	463	475	168	748	469	259	426
ENSG00000006071	3	2	0	36	4	2	4	9	2	4	0	2	4	0	0
ENSG00000006116	0	0	0	6	0	0	0	2	0	2	6	0	2	0	0
ENSG00000006118	52	152	172	90	123	133	102	141	101	59	20	90	45	20	66
ENSG00000006125	2050	2853	2735	2730	2687	2676	1071	1575	1568	1457	462	2651	1958	1058	921
ENSG00000006128	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194	291	489	445	331	418	402	271	414	273	235	52	366	234	104	167
ENSG00000006210	0	0	0	25	0	0	1	0	0	0	0	1	0	0	0
ENSG00000006282	127	76	261	238	227	337	135	190	226	38	73	327	149	68	124
ENSG00000006283	0	0	0	33	1	2	2	0	0	2	2	1	1	0	0
ENSG00000006327	12	12	16	23	2	65	63	6	10	2	2	9	12	2	4
ENSG00000006377	0	0	0	7	0	2	0	0	0	1	0	0	0	0	0
ENSG00000006432	198	309	202	131	187	176	207	128	121	104	38	247	76	88	93
ENSG00000006451	460	499	360	485	427	405	222	279	378	225	70	427	345	113	151
ENSG00000006453	56	94	197	183	111	148	89	128	101	25	26	129	65	29	36
ENSG00000006459	3497	3780	4967	5070	3521	4591	2078	2828	2674	1734	648	3940	2906	1297	1169
ENSG00000006468	6	3	9	30	10	3	0	10	0	14	2	2	4	2	2
ENSG00000006530	879	1109	1126	1181	1169	1039	477	802	715	663	155	1124	889	367	368
ENSG00000006534	345	512	641	480	480	629	158	422	360	138	156	394	310	85	293
ENSG00000006555	159	198	248	102	273	143	83	140	106	144	56	234	219	95	93
ENSG00000006576	1265	1304	1434	1524	1356	1489	746	1114	759	678	253	1361	1138	631	571
ENSG00000006606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006607	506	494	576	539	580	587	424	426	289	268	149	578	469	279	219
ENSG00000006611	0	1	0	19	0	0	0	0	2	0	0	0	0	0	0
ENSG00000006625	42	68	103	66	51	45	26	31	34	9	0	43	45	20	8
ENSG00000006634	324	346	586	464	308	324	209	339	156	247	76	406	276	107	59
ENSG00000006638	10	102	38	61	36	20	58	35	25	31	31	25	52	2	73
ENSG00000006652	211	317	488	544	278	369	474	398	193	193	78	343	284	54	47
ENSG00000006659	3	0	0	0	0	1	0	2	2	2	0	0	0	0	0
ENSG00000006695	316	321	480	338	362	368	161	278	237	182	78	382	234	116	164
ENSG00000006704	6	5	14	13	14	4	7	9	2	8	0	12	11	6	8
ENSG00000006712	435	812	845	735	787	841	715	769	528	483	141	822	292	157	195
ENSG00000006715	1412	1639	1811	1974	1595	1783	704	1137	1240	848	249	1713	1081	1128	562
ENSG00000006740	26	22	18	31	24	30	7	11	20	18	4	27	4	44	16
ENSG00000006744	497	571	833	514	730	641	337	599	440	418	145	711	522	336	330
ENSG00000006747	0	8	4	20	8	16	5	8	4	16	0	8	14	4	0
ENSG00000006756	235	223	311	393	204	253	98	171	131	145	53	186	184	69	77
ENSG00000006757	63	53	63	27	36	47	25	52	36	27	6	37	42	10	10
ENSG00000006788	8	1	0	7	0	0	0	1	0	0	0	0	0	0	0
